,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,"{'vehicle_id': 12, 'time_send': 15.390159071296011, 'time_enter': 26.46067313715266, 'time_start': 26.46067313715266, 'SOC_end': 100.0, 'SOC_send': 69.52196818574079, 'lat': 52.46692967818876, 'long': 13.456035231434306, 'v_hex': '871f18b2effffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 23, 'CS_position': 73, 'distance': 4.535257032928324}"
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,"{'vehicle_id': 291, 'time_send': 14.450274826908379, 'time_enter': 21.435080611252786, 'time_start': 21.435080611252786, 'SOC_end': 100.0, 'SOC_send': 71.50994503461833, 'lat': 52.53278297666041, 'long': 13.354177858485299, 'v_hex': '871f1d48cffffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 43, 'CS_position': 45, 'distance': 2.492402892172203}"
28,
29,
30,
31,
32,
33,
34,
35,
36,"{'vehicle_id': 106, 'time_send': 52.04569429011509, 'time_enter': 59.02757905667685, 'time_start': 59.02757905667685, 'SOC_end': 100.0, 'SOC_send': 70.79086114197698, 'lat': 52.5109903856683, 'long': 13.355797835680622, 'v_hex': '871f1d48affffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 41, 'CS_position': 45, 'distance': 2.4909423832808804}"
37,"{'vehicle_id': 223, 'time_send': 46.241484158794634, 'time_enter': 55.5362881721679, 'time_start': 55.5362881721679, 'SOC_end': 100.0, 'SOC_send': 66.75170316824108, 'lat': 52.51836620946737, 'long': 13.442780830987333, 'v_hex': '871f1d4d4ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 75, 'CS_position': 40, 'distance': 3.647402006686635}"
38,
39,
40,"{'vehicle_id': 67, 'time_send': 60.83388130249002, 'time_enter': 65.0786481760217, 'time_start': 65.0786481760217, 'SOC_end': 100.0, 'SOC_send': 62.633223739502, 'lat': 52.5147081360904, 'long': 13.337574939357415, 'v_hex': '871f1d48effffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 45, 'CS_position': 45, 'distance': 1.1223834367658423}"
41,
42,"{'vehicle_id': 160, 'time_send': 60.26006356287293, 'time_enter': 69.80268616447992, 'time_start': 69.80268616447992, 'SOC_end': 100.0, 'SOC_send': 63.08177534236998, 'lat': 52.49399274478737, 'long': 13.41004284809558, 'v_hex': '871f18b25ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 17, 'CS_position': 73, 'distance': 3.7713113008034957}"
