,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"(7, 1, 79, 2, 0, 0)","(6, 2, 49, 3, 0, 0)","(5, 2, 38, 2, 0, 0)","(9, 5, 39, 3, 0, 0)","(9, 6, 36, 3, 0, 0)","(4, 8, 51, 3, 0, 1)","(9, 9, 23, 3, 0, 1)","(9, 10, 40, 3, 0, 1)",,,,,,,,
1,1,4,1,4,3,1,2,3,,,,,,,,
2,39.4010923657897,20.86093183342428,20.11816867020303,13.575699281384638,21.052627964479626,-1.476495937343902,8.407990682930134,23.41686775430857,,,,,,,,
0,"(7, 1, 6, 3, 0, 0)","(7, 2, 6, 2, 0, 0)","(6, 3, 13, 3, 0, 1)","(9, 4, 74, 3, 0, 1)","(9, 5, 73, 3, 0, 0)","(9, 6, 77, 3, 0, 0)","(9, 6, 73, 3, 0, 0)","(8, 7, 88, 3, 0, 0)","(8, 7, 57, 3, 0, 0)","(9, 8, 53, 3, 0, 0)","(9, 9, 14, 3, 1, 1)","(9, 10, 36, 3, 0, 1)","(9, 10, 42, 3, 0, 0)","(8, 11, 48, 3, 0, 0)",,
1,3,4,2,4,2,1,4,4,1,2,1,1,0,1,,
2,-0.0,17.895979229111987,2.3346514980905724,12.638084204006649,-1.4337641523709246,6.780821724907234,36.69244110263812,8.143587273435973,22.259010670378082,20.844586667416436,8.472357094096514,14.116082383103892,12.969239044314612,9.765495682176482,,
0,"(7, 1, 24, 3, 0, 0)","(9, 3, 27, 3, 0, 0)","(9, 3, 40, 3, 0, 0)","(9, 5, 74, 3, 0, 1)","(9, 6, 28, 2, 0, 0)","(7, 7, 73, 3, 1, 0)","(7, 7, 21, 3, 1, 0)","(7, 8, 73, 3, 1, 0)",,,,,,,,
1,0,4,2,1,4,4,2,3,,,,,,,,
2,-8.335553712245659,28.986813779705287,6.649128183242411,35.00862468822799,39.28406811483501,12.257663366817766,2.4745275265123934,23.53214422035579,,,,,,,,
0,"(7, 1, 80, 3, 0, 0)","(4, 2, 42, 3, 1, 0)","(9, 3, 40, 3, 1, 0)","(9, 4, 44, 3, 0, 0)","(9, 4, 84, 2, 0, 0)","(9, 5, 21, 2, 0, 0)","(8, 6, 42, 3, 1, 1)","(9, 8, 40, 3, 1, 0)","(9, 8, 42, 3, 0, 1)","(8, 9, 75, 3, 0, 0)","(8, 9, 60, 1, 0, 1)","(9, 10, 42, 3, 1, 1)","(9, 10, 40, 3, 0, 1)",,,
1,2,1,4,1,0,4,0,0,0,1,1,1,3,,,
2,11.799317362130527,-5.062243367960499,-0.0,12.673904165942766,22.127859693400104,14.664258522380978,5.776519708021667,8.750522533063549,14.800191633295976,14.440993672362527,7.746702101324253,0.8891610323409843,19.82393873098063,,,
0,"(7, 1, 57, 3, 0, 0)","(7, 2, 57, 1, 0, 0)","(6, 2, 58, 3, 0, 0)","(9, 5, 59, 3, 0, 0)","(9, 5, 44, 3, 0, 0)","(9, 6, 60, 3, 0, 0)","(9, 6, 59, 3, 0, 0)","(8, 7, 36, 3, 0, 0)","(8, 7, 53, 3, 1, 1)","(4, 10, 51, 3, 0, 2)",,,,,,
1,4,1,1,0,4,4,4,2,3,3,,,,,,
2,-0.0,5.86143927238365,9.91603586788056,10.268750722487276,-0.0,8.749813535940952,11.819979449345576,2.594664559274682,17.420206713639303,13.929408627958615,,,,,,
0,"(7, 1, 84, 3, 0, 0)","(4, 2, 74, 3, 0, 1)","(9, 5, 82, 3, 0, 0)","(8, 7, 61, 3, 0, 0)","(9, 8, 33, 3, 1, 1)","(9, 9, 51, 3, 0, 0)","(8, 9, 54, 2, 0, 1)","(9, 10, 53, 3, 0, 1)","(9, 11, 45, 3, 0, 1)",,,,,,,
1,2,1,0,0,2,4,1,0,0,,,,,,,
2,9.416645970193414,-4.04364663535147,45.55432352935652,13.954031652464492,-0.28829509604377274,19.20575865588873,-0.732590674789332,2.7410817604712214,11.864505293279535,,,,,,,
0,"(6, 1, 36, 3, 0, 0)","(9, 3, 16, 3, 1, 0)","(9, 5, 42, 3, 0, 0)","(9, 5, 41, 3, 0, 1)","(9, 5, 53, 3, 0, 0)","(9, 6, 85, 3, 1, 1)","(4, 9, 85, 3, 0, 1)",,,,,,,,,
1,0,0,1,4,1,3,2,,,,,,,,,
2,9.503634038465327,-4.57739953963587,10.853633948293643,6.190499942040306,21.902390844280347,18.38947244783522,-4.2429550064337125,,,,,,,,,
0,"(6, 0, 73, 3, 0, 1)","(9, 1, 14, 3, 0, 1)","(4, 4, 59, 3, 0, 0)","(9, 5, 57, 1, 0, 0)","(9, 6, 40, 3, 1, 0)","(4, 7, 77, 3, 1, 1)","(9, 9, 39, 3, 1, 0)",,,,,,,,,
1,1,3,2,0,3,2,3,,,,,,,,,
2,8.017405720789093,40.94530840290149,-5.5556531263983615,20.580686428993147,13.213407320438264,5.573533751810567,20.951004210667485,,,,,,,,,
0,"(6, 0, 13, 3, 0, 0)","(9, 3, 12, 3, 1, 0)","(9, 4, 12, 3, 0, 0)","(8, 5, 79, 2, 0, 0)","(7, 5, 79, 1, 0, 0)","(9, 7, 17, 3, 1, 0)","(8, 8, 16, 3, 0, 1)","(8, 8, 42, 3, 0, 0)","(4, 11, 13, 3, 1, 0)",,,,,,,
1,0,4,1,4,1,0,4,3,0,,,,,,,
2,-6.852720239289137,-0.0,32.54753779687819,7.232827390553517,12.482305738566676,5.442517054273807,11.243476655400677,19.23395127227007,5.847088841766365,,,,,,,
0,"(7, 0, 34, 3, 0, 0)","(9, 2, 59, 3, 0, 0)","(9, 3, 59, 3, 0, 0)","(9, 3, 36, 3, 1, 0)","(8, 4, 73, 3, 0, 1)","(4, 6, 77, 3, 0, 0)","(4, 7, 76, 2, 0, 0)","(9, 8, 40, 3, 0, 0)","(8, 9, 38, 1, 1, 0)",,,,,,,
1,2,4,4,4,3,2,2,4,3,,,,,,,
2,-7.838692623167097,-0.0,13.549063571800563,29.76189756119918,5.0757057935148495,16.39062406400719,-8.949392962970101,33.06386452179766,35.60588755718807,,,,,,,
0,"(7, 0, 49, 3, 0, 0)","(9, 1, 44, 3, 0, 0)","(9, 2, 13, 3, 0, 0)","(9, 4, 12, 3, 0, 0)","(9, 4, 73, 3, 0, 0)","(9, 5, 77, 3, 0, 0)","(4, 6, 10, 1, 0, 0)","(3, 7, 41, 3, 1, 1)","(9, 9, 44, 3, 1, 1)","(9, 9, 39, 3, 1, 1)","(9, 9, 42, 3, 0, 2)","(9, 10, 16, 3, 0, 1)",,,,
1,0,1,1,3,4,3,3,2,4,1,0,4,,,,
2,10.699453899668143,13.380563175333307,-4.496154923253064,10.484761309468922,13.532573855340216,32.27527390764071,42.92237356939452,-10.40413369790416,5.0,6.955315507408984,9.77854290100394,19.869956699071913,,,,
0,"(7, 0, 44, 3, 0, 0)","(6, 1, 16, 3, 0, 0)","(6, 1, 54, 3, 0, 0)","(8, 3, 52, 3, 0, 0)","(4, 4, 26, 3, 0, 0)","(9, 6, 53, 3, 0, 0)","(9, 6, 52, 3, 0, 1)","(9, 7, 45, 3, 1, 0)","(8, 7, 35, 3, 1, 1)","(4, 9, 60, 3, 0, 0)","(9, 10, 36, 3, 0, 0)","(9, 11, 43, 3, 0, 0)",,,,
1,4,3,1,2,2,0,2,4,3,2,2,1,,,,
2,18.828053929030446,11.058065782845695,-5.019680804737441,14.974639219846305,7.989735909472504,4.844471126562865,-0.9410465795627102,7.775906444804785,28.49252980896119,-5.553752808519633,12.136695742279027,13.751815320382203,,,,
0,"(6, 0, 23, 3, 0, 0)","(9, 1, 73, 3, 0, 1)","(4, 2, 77, 3, 1, 0)","(4, 2, 77, 3, 0, 0)","(9, 4, 77, 3, 0, 0)","(9, 4, 21, 3, 0, 0)","(9, 5, 79, 1, 0, 1)","(9, 6, 77, 3, 0, 0)","(9, 6, 23, 3, 0, 0)","(4, 8, 18, 3, 0, 0)","(9, 10, 40, 3, 0, 3)",,,,,
1,1,3,1,1,4,0,1,4,3,0,0,,,,,
2,-2.812271362135066,6.734337562647681,9.932717582752367,-9.936109015165108,13.197618534309122,13.993507557947378,10.078472583668745,5.0,17.094608511689696,-1.355096828960626,14.84232225988022,,,,,
0,"(7, 1, 88, 3, 0, 0)","(6, 1, 75, 3, 0, 0)","(6, 1, 82, 1, 1, 0)","(5, 2, 17, 3, 1, 0)","(5, 2, 42, 3, 1, 0)","(5, 3, 42, 3, 1, 0)","(9, 6, 75, 3, 0, 0)","(4, 8, 40, 3, 0, 1)","(3, 9, 52, 3, 0, 2)","(9, 10, 39, 3, 0, 1)",,,,,,
1,3,4,0,4,3,0,3,1,2,2,,,,,,
2,11.247294323183874,14.420385138300798,9.82427100846381,7.873105282329583,-0.0,2.3688923550567837,24.943199798515423,26.336017108223217,-10.361675065462439,13.416501510519808,,,,,,
0,"(7, 1, 28, 3, 0, 0)","(3, 3, 53, 3, 0, 0)","(3, 4, 14, 3, 0, 0)","(3, 4, 42, 3, 0, 0)","(9, 6, 86, 3, 0, 0)","(8, 8, 10, 1, 0, 0)","(9, 10, 39, 3, 0, 2)","(9, 10, 16, 3, 1, 1)",,,,,,,,
1,2,4,4,2,1,0,1,3,,,,,,,,
2,25.13368134165003,16.41512926639875,20.73164492780306,-1.6490639818438497,52.54371550165015,15.466105745358941,2.2930991991153578,11.97078547955373,,,,,,,,
0,"(7, 0, 71, 3, 0, 0)","(9, 1, 13, 3, 0, 0)","(4, 4, 12, 3, 0, 0)","(9, 7, 7, 3, 0, 1)","(9, 8, 43, 3, 0, 1)","(4, 9, 53, 3, 1, 1)","(9, 10, 49, 3, 0, 1)",,,,,,,,,
1,2,3,0,1,3,1,2,,,,,,,,,
2,3.937447269905827,4.863403664632673,-4.135552253059197,22.32001365242184,17.784956818232512,-2.275167175827594,10.528536850453271,,,,,,,,,
0,"(6, 1, 83, 3, 0, 1)","(9, 3, 88, 3, 0, 0)","(9, 5, 87, 3, 0, 0)","(9, 6, 88, 3, 0, 0)","(9, 6, 77, 3, 1, 1)","(9, 7, 77, 3, 0, 0)","(9, 7, 42, 3, 1, 1)","(9, 7, 73, 3, 1, 1)","(8, 8, 16, 3, 0, 0)","(4, 9, 21, 3, 1, 1)","(4, 9, 13, 3, 1, 1)","(3, 10, 18, 3, 0, 2)",,,,
1,0,1,1,3,1,3,4,4,3,3,0,2,,,,
2,6.22247899735491,7.6245431941283925,-3.8481630308620947,14.093954694927316,-5.02516970443757,16.45958735401879,9.768471093134838,12.741214131635761,27.480668071954863,7.930006037551356,13.712977979437886,8.24995010302077,,,,
0,"(6, 0, 86, 3, 0, 1)","(6, 1, 43, 3, 1, 0)","(9, 2, 37, 3, 0, 0)","(4, 4, 59, 3, 0, 0)","(4, 4, 33, 3, 0, 0)","(9, 7, 53, 3, 1, 1)","(9, 8, 53, 3, 0, 1)","(8, 8, 51, 3, 0, 1)","(9, 9, 16, 3, 0, 1)","(4, 10, 15, 3, 0, 0)",,,,,,
1,2,0,3,2,1,1,0,2,3,4,,,,,,
2,7.995370918788442,2.8159810801768668,4.2120944712638515,18.964419982124525,0.3499428285415819,1.8660380644761574,4.068387394019961,11.019693691428042,17.730133889876257,-0.0,,,,,,
