,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"(7, 1, 20, 3, 0, 0)","(6, 2, 20, 3, 0, 0)","(6, 2, 13, 3, 0, 1)","(9, 5, 16, 3, 0, 0)","(4, 6, 18, 3, 0, 0)","(9, 7, 18, 3, 0, 0)","(9, 7, 23, 3, 0, 0)","(9, 8, 71, 3, 0, 0)","(8, 8, 74, 3, 0, 1)","(4, 11, 36, 3, 0, 0)",,,,,
1,1,4,0,3,0,3,4,4,3,0,,,,,
2,-0.0,10.044920043609364,7.690726997957224,5.332427492941008,-10.214071641929868,15.707903224450394,17.13208883066808,5.644787801839291,34.83894766242025,13.575046174377464,,,,,
0,"(7, 1, 76, 3, 0, 0)","(6, 1, 79, 2, 0, 0)","(6, 2, 76, 3, 0, 1)","(9, 4, 72, 3, 0, 1)","(8, 5, 39, 3, 1, 1)","(9, 6, 35, 2, 0, 0)","(9, 7, 62, 2, 0, 0)","(9, 8, 43, 3, 0, 1)",,,,,,,
1,3,4,0,4,0,1,2,3,,,,,,,
2,14.606559503616444,16.350716756523482,5.0011208703602605,25.725132248194704,21.438898781866538,1.495529731590839,-0.48224519693010137,43.7047642108388,,,,,,,
0,"(7, 0, 40, 3, 0, 1)","(8, 1, 45, 3, 0, 1)","(4, 2, 44, 3, 1, 0)","(9, 3, 73, 3, 1, 0)","(9, 4, 43, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 6, 21, 3, 0, 0)","(4, 9, 73, 3, 0, 1)","(3, 9, 16, 3, 0, 1)","(3, 10, 49, 3, 0, 1)",,,,,
1,1,3,0,1,1,4,3,3,3,0,,,,,
2,14.616207674687631,12.892396920323499,3.3170925756700425,11.92838991075872,-3.7782294338315454,29.055900312056565,21.44601644762034,20.604018638114916,19.408381688198713,-6.877932518411577,,,,,
0,"(6, 0, 39, 3, 0, 1)","(6, 0, 39, 3, 0, 1)","(5, 1, 13, 2, 0, 0)","(9, 4, 48, 3, 0, 1)","(9, 4, 16, 3, 0, 0)","(9, 5, 18, 3, 0, 1)","(9, 6, 51, 3, 0, 0)","(4, 8, 27, 3, 1, 0)","(4, 9, 13, 3, 0, 1)","(3, 10, 40, 3, 1, 3)","(2, 11, 43, 3, 1, 2)",,,,
1,3,3,0,4,2,0,3,3,2,1,3,,,,
2,7.668589160792568,18.844669336273917,13.619273768744556,14.224484397009272,3.279431837496995,10.171365252057193,13.374866356506935,15.040878284181971,16.30644211991947,22.501646645252578,14.442387251306283,,,,
0,"(7, 1, 61, 3, 0, 0)","(7, 1, 58, 3, 0, 0)","(6, 2, 50, 2, 0, 0)","(9, 5, 53, 3, 1, 0)","(4, 7, 45, 3, 0, 0)","(3, 8, 15, 3, 1, 1)",,,,,,,,,
1,4,1,1,3,1,3,,,,,,,,,
2,14.411702247986536,33.45311476491557,13.279619406055517,25.670352277539074,25.293648204617735,11.634825095614529,,,,,,,,,
0,"(6, 0, 58, 3, 0, 0)","(6, 0, 60, 3, 0, 0)","(9, 1, 60, 3, 0, 1)","(4, 2, 36, 3, 0, 0)","(9, 5, 65, 2, 0, 0)","(8, 7, 7, 3, 0, 0)","(9, 9, 34, 3, 0, 0)","(8, 9, 26, 3, 0, 1)",,,,,,,
1,3,0,3,1,1,1,1,2,,,,,,,
2,5.0,-0.7789205783001663,20.095746902420448,0.3929124401294324,32.42254810353301,15.383908312521461,11.18394934047607,4.7796948808307445,,,,,,,
0,"(6, 1, 13, 3, 0, 0)","(9, 2, 73, 3, 0, 0)","(9, 3, 53, 3, 0, 1)","(8, 4, 41, 3, 0, 0)","(9, 5, 48, 3, 0, 0)","(4, 8, 85, 3, 0, 0)","(9, 9, 71, 3, 1, 1)","(9, 9, 42, 3, 0, 1)","(9, 10, 18, 3, 0, 0)","(8, 11, 75, 3, 0, 1)",,,,,
1,2,4,4,0,3,2,0,1,4,0,,,,,
2,5.226211287306733,19.946039657440743,6.415971952521063,11.773253700432132,37.49574848740359,-3.9316643664918107,9.335440784555855,14.960872345337894,35.67723554479231,8.565387417294309,,,,,
0,"(7, 0, 57, 3, 0, 0)","(4, 1, 12, 3, 0, 1)","(9, 3, 47, 2, 0, 1)","(9, 4, 62, 1, 0, 0)","(9, 5, 38, 1, 0, 0)","(9, 5, 64, 1, 0, 0)","(9, 6, 65, 2, 0, 0)","(9, 7, 39, 3, 1, 1)","(9, 8, 49, 3, 0, 0)","(9, 9, 7, 3, 0, 1)",,,,,
1,3,0,0,0,1,1,2,0,2,3,,,,,
2,28.659300152021782,16.601556540066575,11.621811378086651,-5.075010789812778,7.89458339831161,4.0309737206521135,-4.458044742240105,14.335556088974045,13.153457555761399,10.910138795740718,,,,,
0,"(7, 1, 11, 3, 0, 0)","(6, 2, 60, 3, 1, 0)","(9, 3, 59, 3, 0, 0)","(9, 4, 59, 3, 0, 0)","(9, 5, 59, 3, 0, 0)","(9, 5, 61, 3, 0, 0)","(9, 5, 44, 3, 0, 0)","(9, 6, 43, 3, 1, 0)","(8, 7, 53, 3, 1, 1)","(4, 9, 52, 3, 0, 2)","(4, 9, 53, 3, 0, 1)",,,,
1,3,0,4,4,0,4,4,4,3,3,3,,,,
2,44.57642288413293,-8.121668220515959,-0.0,-0.0,8.915304376687214,15.261524066567793,8.68672112272641,15.497311620549798,16.214342220553974,13.071537692293482,7.877538130073928,,,,
0,"(6, 0, 73, 3, 0, 1)","(9, 1, 42, 3, 1, 1)","(9, 1, 17, 3, 1, 0)","(9, 2, 71, 3, 0, 0)","(4, 5, 21, 3, 1, 0)","(9, 6, 13, 3, 0, 0)","(4, 9, 49, 3, 0, 2)",,,,,,,,
1,1,0,2,3,2,3,3,,,,,,,,
2,7.960983510866174,6.245539967621758,1.7456518821991776,16.253948570272637,-3.80161186594373,26.608018495324153,8.329940915319336,,,,,,,,
0,"(7, 1, 31, 3, 0, 0)","(6, 2, 44, 3, 1, 0)","(9, 3, 49, 3, 0, 1)","(9, 3, 49, 2, 0, 0)","(4, 5, 18, 3, 0, 0)","(4, 6, 18, 3, 0, 0)","(9, 7, 77, 3, 1, 1)","(8, 9, 44, 3, 0, 1)","(4, 10, 60, 3, 1, 0)",,,,,,
1,1,2,2,3,3,0,1,3,1,,,,,,
2,23.784233089956604,7.863306934729961,4.371966452888028,3.579403592641216,-0.0,6.865540646087554,49.29471961973708,13.326333721228409,-4.027949630914884,,,,,,
0,"(7, 0, 36, 3, 0, 0)","(6, 1, 77, 3, 1, 1)","(6, 2, 51, 2, 0, 0)","(5, 2, 17, 3, 0, 0)","(5, 2, 71, 3, 0, 1)","(9, 4, 71, 3, 0, 0)","(9, 4, 39, 3, 0, 1)","(9, 6, 42, 3, 0, 0)","(9, 7, 41, 3, 0, 1)","(9, 7, 45, 3, 0, 0)","(4, 8, 36, 3, 0, 1)","(4, 8, 48, 3, 0, 1)",,,
1,4,0,3,3,2,4,1,0,0,3,3,1,,,
2,16.958740649408952,14.656325198965575,19.542521178481014,16.263911935399985,-0.6229112437763265,17.199890996743548,-3.765149004718384,11.295187525987528,4.116180415621388,20.06982148078079,11.009378452401755,-4.783514083227663,,,
0,"(7, 1, 32, 3, 0, 0)","(6, 2, 77, 3, 1, 0)","(6, 3, 71, 2, 0, 0)","(5, 3, 85, 3, 0, 1)","(9, 6, 83, 3, 0, 1)","(9, 7, 77, 3, 0, 1)","(9, 7, 77, 3, 1, 1)","(9, 8, 77, 3, 0, 1)","(9, 8, 16, 3, 1, 1)","(9, 8, 18, 3, 0, 0)","(9, 9, 40, 3, 1, 1)","(9, 10, 53, 3, 0, 1)","(9, 11, 15, 3, 0, 0)",,
1,4,1,3,0,4,4,1,2,1,0,1,0,4,,
2,15.562393205710205,12.798095253488375,15.090645429638473,1.5280790014247239,10.862383483600835,8.334414703610356,3.5153331667714083,10.347764528598002,0.8862067906269004,7.009594343772552,2.093538638102071,20.6507072775428,12.72407443761633,,
0,"(6, 0, 40, 3, 0, 1)","(9, 2, 44, 3, 1, 0)","(9, 3, 40, 3, 1, 0)","(9, 4, 40, 3, 0, 0)","(9, 5, 40, 3, 1, 0)","(9, 6, 85, 3, 0, 0)","(9, 6, 71, 2, 0, 1)","(9, 7, 73, 3, 0, 0)","(9, 8, 17, 3, 0, 0)","(8, 9, 14, 3, 0, 1)","(8, 9, 50, 2, 0, 1)","(7, 10, 75, 3, 1, 2)",,,
1,2,2,1,0,3,0,2,2,2,4,4,1,,,
2,2.555839730225782,-4.379303676446312,-0.0,-1.1549675712292675,5.0,5.490021948168618,3.111428693389387,17.950632539049018,13.870960311187437,12.597691587149928,30.077209819877197,8.069509049999553,,,
0,"(6, 0, 51, 3, 0, 0)","(9, 1, 40, 3, 1, 1)","(8, 2, 51, 2, 0, 1)","(9, 3, 74, 3, 1, 0)","(8, 3, 88, 3, 0, 0)","(9, 5, 88, 3, 1, 0)","(9, 5, 60, 3, 0, 0)","(4, 8, 40, 3, 0, 1)","(9, 9, 26, 3, 0, 0)","(8, 10, 65, 2, 0, 0)",,,,,
1,0,4,2,4,1,4,3,0,4,0,,,,,
2,5.348363932200998,30.01498296573873,21.17269461241184,22.96647370172328,-3.4540797968328443,5.073318341433485,24.917904861182887,8.469051719072661,14.669851482426122,7.976561961017027,,,,,
