,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,"(6, 0, 43, 3, 0, 1)","(9, 2, 75, 3, 0, 0)","(9, 4, 86, 3, 0, 0)","(4, 7, 39, 3, 1, 0)","(3, 7, 72, 3, 1, 0)",,,,,,,,,,,,
1,2,0,2,3,1,,,,,,,,,,,,
2,24.022754268728036,-4.1180218812988,29.683742067240257,21.069836189801592,13.639863290108625,,,,,,,,,,,,
0,"(6, 1, 52, 3, 0, 0)","(6, 1, 41, 3, 0, 0)","(9, 3, 45, 3, 0, 0)","(9, 4, 45, 3, 0, 0)","(9, 5, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 7, 45, 3, 1, 0)","(9, 7, 49, 3, 0, 0)","(9, 8, 45, 3, 0, 0)","(9, 9, 37, 2, 0, 0)","(4, 10, 59, 3, 0, 0)","(9, 11, 60, 3, 1, 2)",,,,,
1,3,2,3,4,1,4,4,2,1,3,2,0,,,,,
2,18.27961562474315,-7.169610263755545,-0.0,-0.0,-0.0,-0.0,12.321578401351232,7.781827036299305,20.727885123697483,15.783802231971599,0.510916658393441,9.349608880766583,,,,,
0,"(6, 1, 27, 3, 0, 0)","(5, 2, 49, 3, 0, 0)","(9, 3, 14, 3, 0, 0)","(9, 3, 25, 3, 0, 0)","(9, 4, 3, 3, 0, 0)","(9, 5, 76, 3, 0, 0)","(8, 6, 17, 3, 1, 0)","(8, 7, 75, 3, 0, 1)","(4, 8, 48, 3, 0, 0)","(3, 9, 16, 3, 0, 1)","(2, 9, 12, 3, 0, 1)","(2, 10, 73, 3, 1, 1)","(2, 10, 76, 3, 1, 0)","(2, 11, 76, 2, 0, 1)",,,
1,3,0,1,1,2,2,4,3,1,3,3,2,3,3,,,
2,10.777992992667116,-9.150488706188465,5.851184890226014,4.868191941791603,23.843639368341382,2.616492996625667,14.55627086861631,36.88205036435299,5.130555663140139,16.286344233494752,12.177810259646282,8.758417223688472,-0.0,5.7970042208463735,,,
0,"(6, 0, 17, 3, 0, 1)","(6, 1, 41, 3, 1, 0)","(9, 3, 14, 3, 0, 0)","(9, 4, 27, 3, 0, 0)","(9, 5, 11, 2, 0, 0)","(9, 7, 13, 3, 0, 1)","(9, 8, 17, 2, 0, 0)","(9, 8, 51, 3, 0, 1)","(8, 9, 16, 3, 1, 2)","(7, 10, 36, 3, 0, 1)","(6, 10, 36, 3, 1, 1)",,,,,,
1,3,1,1,0,2,4,4,4,0,4,0,,,,,,
2,8.608235832859563,-9.830780919727307,11.406879568175102,33.74959426402285,-8.986547983013123,5.872555701988755,20.414604771311822,13.242843176020557,26.814339325621113,22.167174007300517,9.465491737299478,,,,,,
0,"(7, 1, 34, 3, 0, 1)","(7, 1, 61, 3, 1, 0)","(7, 1, 34, 3, 1, 1)","(4, 2, 48, 3, 0, 0)","(9, 6, 62, 1, 0, 0)",,,,,,,,,,,,
1,1,4,3,0,3,,,,,,,,,,,,
2,8.500393971508926,7.929113944622708,4.459776530155278,16.524286611907552,15.002716558200976,,,,,,,,,,,,
0,"(7, 1, 28, 3, 0, 0)","(6, 2, 49, 3, 0, 1)","(9, 2, 16, 3, 0, 0)","(9, 3, 35, 3, 0, 0)","(9, 4, 49, 2, 0, 1)","(9, 5, 34, 3, 1, 1)","(4, 6, 35, 3, 0, 1)","(4, 7, 39, 3, 0, 0)","(3, 8, 81, 1, 0, 0)","(2, 9, 75, 3, 0, 2)","(2, 9, 71, 2, 1, 1)",,,,,,
1,1,2,4,0,1,3,3,3,3,2,2,,,,,,
2,22.8906528880718,-2.4775910682667908,17.48903188491097,7.999532583748815,6.028395230519165,20.0804600001814,20.84162551614584,36.133403299513404,26.41118499381096,8.55453417185329,3.2134946259616486,,,,,,
0,"(7, 1, 56, 2, 0, 0)","(7, 1, 35, 2, 0, 0)","(4, 3, 12, 3, 1, 0)","(4, 4, 12, 3, 0, 0)","(3, 4, 39, 3, 0, 0)","(9, 5, 57, 2, 0, 0)","(9, 6, 18, 3, 0, 0)","(9, 7, 40, 3, 0, 0)","(9, 7, 85, 3, 0, 0)","(9, 8, 61, 2, 0, 1)","(9, 9, 14, 3, 0, 1)","(9, 10, 77, 3, 1, 1)","(8, 11, 49, 3, 0, 2)",,,,
1,1,3,3,1,0,0,1,0,1,1,2,0,0,,,,
