,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
0,"(1, 15)","[52.46384032631127, 13.403434745944079]","[52.46602195029914, 13.402935503400032]",15,finished,15,[2.53759737],7.915043563587947,[5.3774462]
1,"(1, 12)","[52.47263479797625, 13.393693204856058]","[52.478713957060016, 13.383365800033777]",12,finished,12,[4.62220543],9.973063394366005,[5.35085797]
2,"(1, 49)","[52.49405507881976, 13.323690562497983]","[52.513434818620546, 13.319026428069012]",49,finished,53,[0.55625315],6.656032553035258,[6.09977941]
3,"(1, 40)","[52.525672788670946, 13.399700329523364]","[52.547091493459625, 13.39839958590651]",40,finished,44,[0.90800765],6.876028269137468,[5.96802062]
4,"(1, 54)","[52.47542386628379, 13.266578019110641]","[52.47673388178092, 13.311288884482284]",54,finished,48,[0.41524286],5.411908235720928,[4.99666537]
5,"(3, 73)","[52.48573728969103, 13.438545119771087]","[52.47942964859941, 13.426721149301109]",73,finished,13,[6.83278908],11.822029999494566,[4.98924092]
6,"(1, 85)","[52.53960334295848, 13.435268842851665]","[52.52935248108524, 13.406477781196914]",85,finished,40,[2.81863157],8.353978470760973,[5.5353469]
7,"(1, 71)","[52.51530723843247, 13.476292460639062]","[52.51917055000527, 13.442311492025393]",71,finished,77,[5.3583859],8.639750813833029,[3.28136491]
8,"(1, 23)","[52.46733644372121, 13.450419027737343]","[52.45978992284225, 13.455971092609285]",23,finished,23,[4.53834465],13.42040409272251,[8.88205945]
9,"(1, 82)","[52.489243684578675, 13.506853458059604]","[52.50366388414428, 13.509359204000758]",82,finished,82,[7.46462636],12.322209696184128,[4.85758333]
10,"(1, 59)","[52.559963791715596, 13.321923521099189]","[52.55310314604877, 13.363502900969818]",59,finished,60,[3.38757904],9.06556227764618,[5.67798323]
11,"(1, 42)","[52.514438454716775, 13.390087687824078]","[52.49038453492787, 13.425480919793396]",42,finished,17,[3.85817809],8.033439055027465,[4.17526096]
12,"(2, 73)","[52.490384721658295, 13.446092107008228]","[52.49212711891836, 13.410658871512874]",73,finished,17,[5.15516375],11.92663383864326,[6.77147009]
13,"(1, 44)","[52.54664316151835, 13.400140466344617]","[52.50749521726753, 13.381635025108674]",44,finished,42,[1.9174687],5.674045707014377,[3.756577]
14,"(1, 36)","[52.51098003526055, 13.29147134174189]","[52.53054418905405, 13.319442121283073]",36,finished,34,[7.34934095],11.141937016268194,[3.79259607]
15,"(1, 76)","[52.52967225437068, 13.467832626590011]","[52.51763213384394, 13.515281441282013]",76,finished,72,[5.4113752],11.199285409064693,[5.78791021]
16,"(2, 71)","[52.50565228654929, 13.480719191750055]","[52.52789351345045, 13.496604997701597]",71,finished,76,[6.83970526],13.61874517185825,[6.77903991]
17,"(1, 68)","[52.53024929152559, 13.499869432994753]","[52.521224563647735, 13.511929401961625]",68,finished,72,[10.36482008],18.40526063169057,[8.04044055]
18,"(2, 49)","[52.49112076198843, 13.332538510876788]","[52.51057008454685, 13.320575883844173]",49,finished,45,[9.68616836],15.9424708999076,[6.25630254]
19,"(2, 85)","[52.553350993852916, 13.413061326334224]","[52.58472108725155, 13.418709925899103]",85,finished,87,[7.94268471],12.399272968545201,[4.45658826]
